Conversation 0|Upon seeing first enemy
SmackGPT|Hello, I am SmackGPT, a combat analysis AI program.
SmackGPT|I will be analyzing your fights and providing you with helpful tips. 
SmackGPT|Here is your first tip: If you run out of Stamina you won't be able to dodge or attack, so manage it carefully!
;Conversation 1|After killing 5 enemies
SmackGPT|Did you know you can perform combos by mixing light and heavy attacks?
;Conversation 2|After killing 15 enemies
SmackGPT|Hitting enemies reduces their Poise. If their Poise is reduced to 0 they will be stunned for a few seconds.
;Conversation 3|After killing 11 enemies after getting shield
SmackGPT|If you parry a melee attack it will greatly reduce the enemy's Poise, potentially stunning them
;Conversation 4|After dying to Head of IT too much
SmackGPT|Combat Analysis: Dave, Head of IT. Beginning Report...
SmackGPT|He consistently forgets how to cast his spells and has to look them up on his phone. This is the optimal time to strike.
;Conversation 5|After dying to Carol too much while her friends are alive
SmackGPT|Combat Analysis: Carol, Head of HR. Beginning Report...
SmackGPT|She is fueled by the power of friendship and is thus too powerful for you.
SmackGPT|Catherine has told you what to say to her friends to ruin thier friendships. Try to find them before killing her.
